userID;description;typeofdirectuse;date;directrequired;directwaterquality;directlocation;directusage;indirectrequired;indirectquality;indirectlocation;indirectusage;notes
1;"Took a nice long luxurious test shower with bottled water";Hygiene;"2012-02-22 21:15:00";Required;Blue;"Albuquerque USA";70;Optional;Grey;"Taipei Taiwan";600;"This is just a test. Please to remove this entry before analysis. I repeat this is only a test! Nothing to see here, please move on."
52;"Hand washing";cleaning;"2012-02-23 23:00:00";Required;Blue;"Albuquerque USA";1;Unsure;Unknown;Unknown;0;"Its a text"
62;"Toilet Flush";Hygiene;"2012-02-25 21:15:00";Optional;Unknown;"Albuquerque USA";2.16;Unsure;Unknown;Unknown;0;"We flushed the toilet twice this morning. Perhaps we should add an option to specify the number of times an action was taken, such as 3 glasses of drinking water from the tap, 2 liters from a fountain, or anything else that might happen more than once a day.  In this case, I added the volume of the two uses, but I would have more accurate data if I could see how much each flush amounts to, and then see the total number of flushes each day. I could either add each action individually, or make note that I did it multiple times. Also,  a friend flushed the toilet in my apartment today, but I figured it still contributes to my total water use. Is this a fair assumption?"
62;Shower;Hygiene;"2012-02-25 21:45:00";Optional;Unknown;"Albuquerque USA";25;Unsure;Unknown;Unknown;0;
62;"Drinking Water";Hydration;"2012-02-25 22:45:00";Required;Blue;"Albuquerque USA";0.31;Unsure;Unknown;Unknown;0;
62;"Soft Drink";Hydration;"2012-02-25 22:45:00";Unsure;Unknown;"Albuquerque USA";0;Optional;Unknown;Unknown;0.85;"According to the economist, it takes about 3.12 liters of water to produce 1 liter of Coke. I do not know how much water was required to get the drink to The Frontier, to produce the cup it came in, the electricty to run the machine, etc. How many factors should I include? "
37;"4 Toilet Flushes";Hygiene;"2012-02-26 04:45:00";Required;Blue;"Albuquerque USA";6.4;N/A;N/A;Unknown;0;"The water footprint site notes, ""The blue water footprint measures the volume of groundwater and surface water consumed, i.e. withdrawn and then evaporated.""  So I am questioning now whether flushing the toilet constitutes a ""use"" of water.  It is not a consumptive use, since the water returns to the river after it goes through wastewater treatment..."
37;"6 Hand Washes";Hygiene;"2012-02-26 05:00:00";Required;Blue;"Albuquerque USA";12;N/A;N/A;Unknown;0;"I am estimating that the faucets I use run at about 2 gallons/minute (based off of two online estimates I found) and that I take about a minute to wash my hands."
37;"Drinking Water";Drinking;"2012-02-26 05:00:00";Required;Blue;"Albuquerque USA";0.4;N/A;N/A;Unknown;0;"I filled my 0.2 gallon water bottle twice today."
37;Cooking;Cooking;"2012-02-26 05:15:00";Required;Blue;"Albuquerque USA";0.5;N/A;N/A;Unknown;0;"I used about 8 cups of water to cook oatmeal and to boil black beans."
37;Shower;Hygiene;"2012-02-26 00:15:00";Required;Blue;"Albuquerque USA";40;N/A;N/A;Unknown;0;"Estimating that my shower runs at 2 gallons/minute (based off of USGS water science website), a 20-minute shower is 40 gallons!"
37;Driving;Transportation;"2012-02-26 05:15:00";Optional;N/A;"Albuquerque USA";0;Required;Unknown;Unknown;3.8;"I drove about 4 miles by myself and 7 miles in a three-person carpool.  National Geographic website lists that one gallon of gas equals approximately 13 gallons of water, and my car gets about 22 mpg.  For simplicity's sake, I estimate my friend's car gets the same mpg.  So, I indirectly used 2.4 gallons on my solo trip, and 1.4 gallons is my one-third from a group trip."
